State,Children_in_poverty,Adult_smoking,Income,Num_of_Providers,AvgSpendPerEpHosp,Pop_over_all,Poverty_overall,Degree_or_higher,TaxRate,Median_house_V,TotalDischrg,AvgMedicarePay,ratio_child,ratio_adult,ratio_income,ratio_num_prov,ratio_avgspend,ratio_pop,ratio_poverty,ratio_education,ratio_tax,ratio_median,ratio_total_disch
Mississippi,0.307,0.23,39665.0,58,1499.510971786834,2988726,1213744,819782,0.014467046325609753,82298.11951219513,93223,71.24175751037359,0.004309270443746386,0.0032284436549240027,5.567661633589589,0.8141292695025745,21.04820296675708,419.5188474350606,170.36974415226427,115.0704346226482,0.0002030697561539409,11.551949641361896,13.085443601868707
New Mexico,0.28,0.191,44963.0,29,1452.0987460815045,2081015,780919,732476,0.014490006766666662,113684.70303030303,26925,83.00111439476545,0.0033734486824873104,0.002301173922696701,5.417156182524176,0.34939289925761424,17.49493072075045,250.72133249951176,94.08536327426098,88.24893561262769,0.00017457605084372806,13.696768273447745,3.243932349141815
Louisiana,0.28,0.24,45047.0,63,1580.9711399711405,4681666,1823939,1407750,0.02217090117343751,94176.45,109876,73.87704625041282,0.0037900811444317242,0.0032486409809414775,6.097563761186282,0.8527682574971379,21.400031812483384,633.7105011116819,246.88845758905907,190.5530975383485,0.00030010540890180245,12.74772812123275,14.872819850913578
Alabama,0.27399999999999997,0.21100000000000002,43623.0,83,1462.5027382256299,4863300,814190,783076,0.01070418800597015,97627.32835820896,142704,64.18007119669868,0.004269238018765148,0.003287624897662213,6.796969711408469,1.2932363341514865,22.78749011890873,757.7585860095089,126.86025191599985,122.01232959060354,0.000166783672974809,15.2114708721655,22.23493949744021
South Carolina,0.264,0.215,45483.0,54,1621.388888888889,4961119,1479149,1730114,0.017593947080434786,111615.56739130436,121393,78.7633152441167,0.003351814219370606,0.00272969718622985,5.774642656804291,0.6855983630530786,20.58558459434578,629.8768639465789,187.7966913169626,219.65987523985444,0.00022337743181460336,14.171009313836823,15.412378164093031
Georgia,0.263,0.174,49620.0,166,1777.0936473165386,10310371,3224736,3876180,0.02117147911194969,108771.96163522011,191242,76.67581549919493,0.0034300254687576353,0.0022692944165925034,6.471401663868968,2.1649590411169863,23.17671661849097,1344.6705369711074,420.56755171177264,505.52836963836387,0.00027611677781466806,14.185954323024083,24.941632345861127
Arkansas,0.263,0.247,41371.0,44,1608.9390495867772,2988248,994772,848892,0.012493557117333328,80051.0933333333,86769,69.19720832123853,0.0038007313644657253,0.003569508163585681,5.978709402255191,0.6358638024201214,23.251502316646917,431.84516723961883,143.75897874115202,122.67720340091401,0.00018055001669046682,11.568543771550303,12.539378698225343
Tennessee,0.259,0.242,45219.0,90,1686.1964646464644,6651194,2047650,2244832,0.01640163310210526,107275.6305263158,189065,69.46489304222644,0.0037285021059855175,0.0034837741685270086,6.509619178786065,1.2956184924274,24.274081349574043,957.4899936802408,294.77480066877393,323.1606501769761,0.00023611399058996615,15.443143410744891,27.217345585642928
Kentucky,0.259,0.262,43740.0,51,1672.300356506239,4436974,1565552,1348330,0.010980768267499998,93617.70083333332,152572,71.85227810467647,0.0036046177912783966,0.003646370120907104,6.087489659865523,0.709789603688024,23.27414524101774,617.5133366733464,217.88481051627323,187.65306202758305,0.0001528242187603697,13.029190347583462,21.234121453703764
Arizona,0.256,0.165,50255.0,61,1723.3673621460507,6931071,2214307,2482850,0.027085902866666674,127114.88,104604,88.25717239565046,0.002900614114990799,0.0018695364413026635,5.694154779252446,0.6911619570876513,19.526655062325368,785.3266552579449,250.89258355948948,281.3199123205041,0.00030689746942313707,14.402781841928189,11.852181206425685
West Virginia,0.25,0.267,41751.0,29,1594.242946708464,1831102,636739,507412,0.01305469405636364,89786.03272727273,64968,69.00852548772811,0.003622740787940149,0.0038690871615200796,6.050122025491566,0.42023793140105725,23.10211579570658,265.3443160911513,92.2696138628889,73.52888594761147,0.00018917509052827358,13.010860917936803,9.414488940435824
Texas,0.245,0.145,53207.0,287,1864.7686094393416,27862596,8522584,9601354,0.036064497629527584,76463.8188976378,479939,79.70430797370105,0.003073861454023782,0.0018192241258508097,6.675548832009934,3.6008091318564297,23.396083058078045,3495.745300140294,1069.275201888972,1204.621712940288,0.0004524786494781098,9.59343614436343,60.214938464600806
Florida,0.242,0.17600000000000002,47507.0,6,1811.151515151515,20612439,5972469,7859592,0.02120407420447761,124561.88656716418,536859,76.67478694755685,0.0031561874461486328,0.0022954090517444607,6.195908967115005,0.07825258130947024,23.62121353386069,2688.294264723326,778.9351934013174,1025.0556033987698,0.0002765455901296541,16.245481927763375,70.01767091536814
North Carolina,0.24100000000000002,0.191,46868.0,83,1614.3696604600223,10146788,3046066,3880870,0.016998255391,126515.02999999994,257312,79.98649702439984,0.003013008557262898,0.002387903047457317,5.859489006713589,1.0376751462772635,20.183027392330477,1268.562617125829,380.822527966289,485.19064396783654,0.0002125140620399302,15.817048465243651,32.1694297878187
New York,0.22899999999999998,0.14400000000000002,59269.0,145,1670.7003134796232,19745289,5687907,9382892,0.03576655824193549,158573.27149999994,435557,106.20736397907989,0.0021561593416922304,0.0013558381886623633,5.580498166932611,1.365253731639185,15.730550602957324,1859.1261716927004,535.547328066665,883.4502287287902,0.0003367615662599495,14.930534527835075,41.01005652355645
Ohio,0.22699999999999998,0.21,49429.0,122,1765.2913561847981,11614373,3279274,4185750,0.02141101664772727,125733.7102272728,293472,76.61033712207649,0.0029630466139090564,0.0027411444445854705,6.452001369115011,1.5924743916163209,23.042469495622434,1516.032096490166,428.04589082731314,546.3688266154112,0.00027947947303259347,16.412107680314676,38.30710202101844
California,0.226,0.128,61818.0,286,1813.7703432930703,39250017,11055243,16352974,0.023105446896551723,249487.0379310345,474979,114.94381677893475,0.00196617796705545,0.0011135875211641484,5.3781057330722915,2.4881721176011444,15.77962516053732,3414.7132138031793,961.7953631435392,1422.6927953376382,0.00020101513542906954,21.70512907282864,41.32270993867391
